0,3200
10000,118450700
20000,507641700
30000,1096044600
40000,1991657600
50000,3137697800
60000,4603745800
70000,6671044200
80000,8422051100
90000,10821792700
100000,13356664200
110000,15541387300
120000,17873355600
130000,21091940300
140000,25053730800
150000,28852159200
160000,32310892200
170000,37220713900
180000,40899099700
190000,45102092300
200000,50884211600
210000,54429356900
220000,60652601000
230000,65544629600
240000,71931773000
250000,77203182200
260000,83605444800
270000,90014606200
280000,97123730400
290000,104429833400
300000,111593293700
310000,118727396200
320000,127335220700
330000,136341700900
340000,145750760200
350000,155131384000
360000,163197585700
370000,172007791700
380000,181184834300
390000,193197183600
400000,199195560800
410000,210197734500
420000,220015139200
430000,236267042400
440000,242930273200
450000,253419258100
460000,264670624400
470000,276591762500
480000,287631492000
490000,300009195700
500000,315174651900